,Rubavu,Ruhengeri
0,5.651750520791804,5.820826850835738
1,5.649020750759928,5.882635601941433
2,5.734632339712776,5.877459274311107
3,6.018454861127589,5.783709938631334
4,6.006843991760561,5.771307253815568
5,5.760794496262825,5.758748808539532
6,5.749359274202527,5.749359274202527
7,5.751609569302084,5.748888479187723
8,5.74518311730401,5.745864548335489
9,5.89075283403888,5.742168303048542
10,5.899918442394678,5.896988466668348
11,5.930995913042221,5.902075447499354
12,5.984085323282617,5.90847120073121
13,5.9242170766792706,5.909609747127564
14,5.870432929539245,5.907674470471145
15,5.996039937277953,5.352890014635128
16,5.992348544630131,5.576571269155546
17,5.989566770759652,5.572610923236017
18,5.9663437934060335,5.657981515716713
19,5.94885528903404,5.8024266553006925
20,5.964998531683107,5.79558037972506
21,5.877659946578954,5.8770732642505985
22,5.672550481768117,5.8797785777764275
23,5.7138634852441745,5.888558694303065
24,5.568306773757408,5.902518315739796
25,5.71917618161065,5.571507339385583
26,5.753511781008449,5.570072281113154
27,5.78401688498536,5.5703137274502375
28,5.813493322943517,5.446643050963132
29,5.593391776142832,5.39362695989835
30,5.468670580540359,5.226505346913041
31,5.506565245794442,5.21888317334266
32,5.497126880373267,5.209444807921487
33,5.52577788358153,5.169102939642798
34,5.521324596645931,5.302409381441243
35,5.520275151566461,5.386743758941939
36,5.56039275999768,5.393635719744837
37,5.142064814345821,5.5153510240897505
38,5.307103498620262,5.404346046175641
39,5.69774156698443,5.212594957636131
40,5.22622286083673,5.141937138118678
41,5.301290062685486,5.1392737720522765
42,5.244679574454269,5.347775083481243
43,5.130268827670307,5.293802470598628
44,5.011338800119288,5.299020872571068
45,5.140733006248622,5.083275951223835
46,5.197753402801982,5.085961996813865
47,5.228884617989416,5.251980332784065
48,5.35609549595004,5.281033476975662
49,5.360362795269934,5.313842779635041
50,5.368595747789457,5.322465976061956
51,5.384858722050264,5.255925038674372
52,5.446045746453948,5.202292790873619
53,5.489326195201016,5.261626827350946
54,5.39301627935272,5.295327034191545
55,5.280119199084031,5.422927602307355
56,5.452329909470558,5.359956589339543
57,5.444418887112604,5.444418887112604
58,5.476472850497874,5.478250628743873
59,5.465165493275693,5.465165493275693
60,5.544773838522187,5.465558602968684
61,5.5418503501851895,5.504621008416834
62,5.575094213106259,5.548958411605434
