,Nairobi,Meru
0,6.512817315374903,6.480884268271894
1,6.607512774506386,6.493788892002464
2,6.570821173612569,6.493399699418907
3,6.583520571422768,6.422132224295279
4,6.521044817391844,6.386054635303662
5,6.490850783161839,6.380819408041386
6,6.526603953200421,6.46176946774553
7,6.591569359577223,6.466008839308232
8,6.397758850863217,6.4678155007977605
9,6.342658879927553,6.433061934567777
10,6.369631593449638,6.450250769692778
11,6.398875541394341,6.467868412881293
12,6.368116483939922,6.467235673926983
13,6.495651511948429,6.461171108766042
14,6.357377924436673,6.45425662503859
15,6.317256086855823,6.511412101296781
16,6.332725483816878,6.305790419554213
17,6.358103242073966,6.303709170008167
18,6.47934895804192,6.375855320215022
19,6.429551372752986,6.369679727880385
20,6.201102145321219,6.38397634097975
21,6.279078734858332,6.385671157047068
22,6.2835597947718185,6.388072493507305
23,6.15823870093949,6.391853552120995
24,6.499832687846701,6.39495907791268
25,6.366634955990751,6.367348986724408
26,6.474909100240721,6.325759228834837
27,6.49853523115064,6.35930175607721
28,6.488495407646785,6.31116139236387
29,6.489969424879569,6.356079930192133
30,6.493962453213951,6.360072958526515
31,6.425466915017677,6.317042236430258
32,6.480611873555382,6.311937230602609
33,6.477342641357958,6.341992074136778
34,6.408357388521492,6.339461562014965
35,6.475518823721275,6.36924194385031
36,6.414344634863005,6.334911703363676
37,6.535353843673951,6.299360870087479
38,6.452242129212523,6.376847983248057
39,6.41322660876446,6.344612596914546
40,6.47229517285478,6.294924121220682
41,6.459633077198647,6.352741700480596
42,6.480432373574967,6.35090481604932
43,6.446346539522169,6.345103122593622
44,6.37428180874592,6.387003774771569
45,6.4462920911118236,6.372280388512929
46,6.427890515225002,6.3796727063130145
47,6.436527977286944,6.3714855508729
48,6.414684047901625,6.3437086148384925
49,6.691824166369745,6.315138022811624
50,6.619727341583642,6.299618097727204
51,6.607407426637899,6.283853502314525
52,6.6045325069712995,6.222506821957268
53,6.604461555077824,6.157149337034159
54,6.601217905922097,5.93730036367709
55,6.599281922458123,5.9394364664472175
56,6.607869104928533,5.937473681352004
57,6.610584272269105,5.9521698986280525
58,6.609132242999927,5.940576465577304
59,6.606325381795201,5.727947853693069
