Date,Machakos,Nairobi
2016-01-01,5.663050592336632,5.727903134516193
2016-01-15,5.665145711442798,5.702948076089333
2016-02-01,5.672257771114077,5.705047593937068
2016-02-15,5.658435682791919,5.691551291576417
2016-03-01,5.651305418522216,5.681257740805567
2016-03-15,5.644468629777895,5.677805050045487
2016-04-01,5.2372561914830325,5.676002241356694
2016-04-15,5.2546044479129295,5.694302727663336
2016-05-01,5.2568218721470785,5.691557362555356
2016-05-15,5.251565057688284,5.689500550827232
2016-06-01,5.467497122992928,5.684271226021658
2016-06-15,5.537016488401119,5.7094492130658265
2016-07-01,5.537539385333272,5.7062888645816825
2016-07-15,5.533469158949079,5.702791461199394
2016-08-01,5.532418680015416,5.702404629927838
2016-08-15,5.5313670964152335,5.636358540284409
2016-09-01,5.529654802134344,5.636305997421883
2016-09-15,5.562680974575331,5.634025999511198
2016-10-01,5.594651199935008,5.631754950138386
2016-10-15,5.624883450128195,5.691548031855556
2016-11-01,5.619678783453023,5.684113305838485
2016-11-15,5.614208968142071,5.678747489279642
2016-12-01,5.607079950536025,5.673393650962927
2016-12-15,5.601256645229004,5.666840644768128
2017-01-01,5.592101676982761,5.6555892258743565
2017-01-15,5.571691493926981,5.637504712496552
2017-02-01,5.71808494893371,5.756644175719524
2017-02-15,5.84575867635821,5.918685313466101
2017-03-01,5.844499814945302,5.965644198304391
2017-03-15,5.834345209659806,5.952268704618338
2017-04-01,5.823634251278926,5.9389513681883095
2017-04-15,6.04216558817297,5.935226184175415
2017-05-01,6.038454229669367,6.037439516238821
2017-05-15,6.139219946114761,6.043448405287259
2017-06-01,6.135997253363657,6.0484778753471
2017-06-15,6.145474694950575,6.147326547331649
2017-07-01,6.054093521706231,6.09409885631993
2017-07-15,5.827897636831899,6.0093684917455406
2017-08-01,5.821020721157123,6.045955241352255
2017-08-15,5.830917088735715,5.951169348546963
2017-09-01,5.8043098052638795,5.957432935276257
2017-09-15,,5.838868489147492
2017-10-01,,5.789942314452403
2017-10-15,,5.78841996717783
2017-11-01,,5.839259753458919
2017-11-15,,5.837862975246761
2017-12-01,,5.833923919941989
2017-12-15,,5.874681468392518
2018-01-01,,5.818264920736835
2018-01-15,5.526340729972224,5.830468460863813
2018-02-01,5.556322220511225,5.722114475353969
2018-02-15,5.522802048257198,5.735793228107389
2018-03-01,5.488603902297297,5.618234964950236
2018-03-15,5.519252533139814,5.6110414513169395
2018-04-01,5.478688512148342,
2018-04-15,5.511094959273008,
2018-05-01,5.365619232099011,5.5891451194912865
2018-05-15,5.329098957286026,5.60878098707073
2018-06-01,5.246206386990925,5.576448073861501
2018-06-15,5.272187854255054,5.593345855903224
2018-07-01,5.164205250909102,5.569670359017267
2018-07-15,5.162662151664815,5.4888778881188385
2018-08-01,5.15634815115492,5.459460796833347
2018-08-15,5.102240786696167,5.436557075662312
2018-09-01,5.284522603320849,5.438673283148107
2018-09-15,5.201488373782122,5.284324379361271
2018-10-01,5.245575859318381,5.214531237636422
2018-10-15,5.289217614825124,5.210916764411365
2018-11-01,5.362731166021395,5.207282627478537
2018-11-15,5.427156946595323,5.303447292269301
2018-12-01,5.354255934403439,5.191622332581704
2018-12-15,5.3505638617977445,5.3583460022397995
2019-01-01,5.351549122967573,5.371993093906342
2019-01-15,5.352533414353242,5.416344927098195
2019-02-01,5.360036012356825,5.4267273868554975
2019-02-15,5.3523546480791975,5.37882122126736
2019-03-01,5.348555934109249,5.301672348210398
2019-03-15,5.340792538755065,5.400289637619711
2019-04-01,5.0706656562699335,5.407137892891147
2019-04-15,5.469077126936084,5.570751928922461
2019-05-01,5.329452972901233,5.57607355855524
2019-05-15,5.620864299829009,5.5830140756979105
2019-06-01,5.618866877279254,5.7321955625862575
2019-06-15,5.617377670523267,5.730706355830271
2019-07-01,5.607528757326522,5.8170807193050305
2019-07-15,5.597581877372754,5.845985095446202
2019-08-01,5.630953741355395,5.752997736003181
2019-08-15,5.663247795754952,5.746629404694002
2019-09-01,5.72055307994949,5.813529536407596
2019-09-15,5.717611532290115,5.813816010033001
2019-10-01,5.716568792487795,5.74005315666646
2019-10-15,5.71552496424412,5.759364169368541
2019-11-01,5.723996956778254,5.7214621011750655
2019-11-15,,5.722984032857879
2019-12-01,,5.713122016246839
2019-12-15,,5.626878299010426
2020-01-01,,5.645938088041276
2020-01-15,,5.631963517254477
2020-02-01,,5.642436958473532
2020-02-15,,5.6137081930822825
