,name,country,lat,long
0,Ngozi,Burundi,-2.91084,29.82443
1,Eldoret,Kenya,0.514277,35.26978
2,Meru,Kenya,0.051472,37.645604
3,Mombasa,Kenya,-4.043477,39.668207
4,Machakos,Kenya,-1.517684,37.263415
5,Ruhengeri,Rwanda,-1.50442,29.63516
6,Kamembe,Rwanda,-2.462016,28.907371
7,Bujumbura,Burundi,-3.361378,29.359878
8,Mulindi,Rwanda,-1.477311,30.041967
9,Busia,Uganda,0.470669,34.09198
10,Nairobi,Kenya,-1.292066,36.821945
11,Kigali,Rwanda,-1.970579,30.104429
12,Makueni,Kenya,-1.786495,37.631107
13,Gitega,Burundi,-3.428803,29.924903
